WARNING 2026-04-11 19:00:07,707 cloudwatch_utils [CloudWatch] Failed to send log event: An error occurred (AccessDeniedException) when calling the PutLogEvents operation: User: arn:aws:iam::304188066633:user/erp-dev-user is not authorized to perform: logs:PutLogEvents on resource: arn:aws:logs:eu-north-1:304188066633:log-group:/erp/django:log-stream:erp-app-events because no identity-based policy allows the logs:PutLogEvents action
INFO 2026-04-11 19:00:07,708 cloudwatch_utils [LOGIN] user=Imran123
INFO 2026-04-11 19:00:07,889 basehttp "POST /login/ HTTP/1.1" 302 0
INFO 2026-04-11 19:00:08,711 rds_utils [RDS] Stats for user='Imran123': products=3, customers=2, invoices=1, revenue=500.0
INFO 2026-04-11 19:00:08,718 basehttp "GET /dashboard/ HTTP/1.1" 200 3505
INFO 2026-04-11 19:00:13,345 basehttp "GET /backup/export/ HTTP/1.1" 200 3875
INFO 2026-04-11 19:00:17,335 s3_utils [S3] Upload OK → s3://erp-exports-imran/backups/full_Imran123_2026-04-11.csv
WARNING 2026-04-11 19:00:17,624 cloudwatch_utils [CloudWatch] Setup warning: An error occurred (AccessDeniedException) when calling the CreateLogGroup operation: User: arn:aws:iam::304188066633:user/erp-dev-user is not authorized to perform: logs:CreateLogGroup on resource: arn:aws:logs:eu-north-1:304188066633:log-group:/erp/django:log-stream: because no identity-based policy allows the logs:CreateLogGroup action
WARNING 2026-04-11 19:00:17,903 cloudwatch_utils [CloudWatch] Setup warning: An error occurred (AccessDeniedException) when calling the CreateLogStream operation: User: arn:aws:iam::304188066633:user/erp-dev-user is not authorized to perform: logs:CreateLogStream on resource: arn:aws:logs:eu-north-1:304188066633:log-group:/erp/django:log-stream:erp-app-events because no identity-based policy allows the logs:CreateLogStream action
WARNING 2026-04-11 19:00:18,203 cloudwatch_utils [CloudWatch] Failed to send log event: An error occurred (AccessDeniedException) when calling the PutLogEvents operation: User: arn:aws:iam::304188066633:user/erp-dev-user is not authorized to perform: logs:PutLogEvents on resource: arn:aws:logs:eu-north-1:304188066633:log-group:/erp/django:log-stream:erp-app-events because no identity-based policy allows the logs:PutLogEvents action
INFO 2026-04-11 19:00:18,203 cloudwatch_utils [BACKUP_EXPORTED] user=Imran123 type=full s3_key=backups/full_Imran123_2026-04-11.csv
WARNING 2026-04-11 19:00:18,522 cloudwatch_utils [CloudWatch Metric] Failed to publish 'BackupsExported': An error occurred (AccessDenied) when calling the PutMetricData operation: User: arn:aws:iam::304188066633:user/erp-dev-user is not authorized to perform: cloudwatch:PutMetricData because no identity-based policy allows the cloudwatch:PutMetricData action
INFO 2026-04-11 19:00:18,524 basehttp "POST /backup/export/ HTTP/1.1" 200 283
